step,current_x,current_y,move_x,move_y,degree,Q,P,N,PUCT,is_best
28,0,3,1,1,2,-1.0,1.0,1000,-0.96839,1
29,1,1,2,3,3,-1.0,0.17262,172,-0.96843,0
29,1,1,3,0,1,-1.0,0.82738,828,-0.96842,1
30,3,0,5,1,1,-1.0,1.0,1000,-0.96839,1
31,5,1,7,2,2,-1.0,1.0,1000,-0.96839,1
32,7,2,9,3,2,-1.0,0.1521,152,-0.96855,0
32,7,2,8,4,1,-1.0,0.8479,848,-0.9684,1
33,8,4,9,6,2,-1.0,1.0,1000,-0.96839,1
34,9,6,8,8,2,-1.0,0.74121,741,-0.9684,1
34,9,6,7,7,3,-1.0,0.25879,259,-0.96851,0
35,8,8,6,9,2,-1.0,0.7648,765,-0.96841,1
35,8,8,6,7,4,-1.0,0.2352,235,-0.96847,0
36,6,9,4,8,3,-1.0,0.73402,734,-0.9684,1
36,6,9,7,7,2,-1.0,0.26598,266,-0.96848,0
37,4,8,2,9,2,-1.0,0.56599,566,-0.96842,1
37,4,8,2,7,3,-1.0,0.23535,235,-0.96845,0
37,4,8,6,7,3,-1.0,0.19866,199,-0.96857,0
38,2,9,0,8,2,-1.0,0.92031,921,-0.96842,1
38,2,9,3,7,4,-1.0,0.07969,79,-0.96848,0
39,0,8,1,6,3,-1.0,0.6523,652,-0.9684,1
39,0,8,2,7,2,-1.0,0.3477,348,-0.96848,0
40,1,6,3,7,3,-1.0,0.1293,129,-0.96853,0
40,1,6,2,8,2,-1.0,0.33856,339,-0.9685,0
40,1,6,0,4,3,-1.0,0.53215,532,-0.96841,1
41,0,4,2,5,2,-1.0,0.39424,394,-0.96842,1
41,0,4,1,2,1,-1.0,0.21573,216,-0.96855,0
41,0,4,2,3,2,-1.0,0.39003,390,-0.96844,0
42,2,5,3,7,2,-1.0,0.38373,384,-0.96847,0
42,2,5,0,6,2,-1.0,0.61627,616,-0.9684,1
43,0,6,2,7,1,-1.0,0.07781,77,-0.96844,0
43,0,6,1,8,2,-1.0,0.92219,923,-0.96842,1
44,1,8,2,6,1,-1.0,0.32369,324,-0.96849,0
44,1,8,3,7,1,-1.0,0.67631,676,-0.96839,1
45,3,7,4,9,2,-1.0,1.0,1000,-0.96839,1
