step,current_x,current_y,move_x,move_y,degree,Q,P,N,PUCT,is_best
35,5,9,3,8,4,0.0,0.33333,167,0.04441,1
35,5,9,4,7,4,0.0,0.33333,167,0.04441,0
35,5,9,6,7,4,0.0,0.33333,166,0.04468,0
36,3,8,1,7,4,0.0,0.3,150,0.04447,1
36,3,8,2,6,4,0.0,0.3,150,0.04447,0
36,3,8,4,6,6,0.0,0.2,100,0.04432,0
36,3,8,5,7,6,0.0,0.2,100,0.04432,0
37,1,7,2,9,2,0.0,0.41667,209,0.04441,1
37,1,7,0,5,3,0.0,0.27778,139,0.04441,0
37,1,7,2,5,6,0.0,0.13889,69,0.04441,0
37,1,7,3,6,5,0.0,0.16667,83,0.04441,0
38,2,9,3,7,6,-0.00538,0.4,186,0.0425,0
38,2,9,4,8,4,0.0,0.6,314,0.04263,1
39,4,8,6,9,2,0.0,0.38961,203,0.04275,1
39,4,8,3,6,4,0.0,0.19481,102,0.04233,0
39,4,8,5,6,5,0.0,0.15584,81,0.04254,0
39,4,8,6,7,3,-0.00877,0.25974,114,0.04178,0
40,6,9,5,7,5,0.0,0.28571,165,0.03853,0
40,6,9,8,8,2,-0.00896,0.71429,335,0.03863,1
41,8,8,6,7,2,-0.01347,0.66667,297,0.03661,1
41,8,8,7,6,4,0.0,0.33333,203,0.03657,0
42,6,7,4,6,5,-0.00498,0.375,201,0.03658,0
42,6,7,8,6,3,-0.01003,0.625,299,0.0366,1
43,8,6,6,5,6,-0.02941,0.1,34,0.03454,0
43,8,6,7,4,2,-0.0283,0.3,106,0.03445,0
43,8,6,9,4,1,-0.00278,0.6,360,0.03442,1
44,9,4,7,3,5,-0.006,1.0,500,0.03868,1
45,7,3,8,5,2,-0.0283,0.30303,106,0.03509,0
45,7,3,6,5,5,0.0,0.12121,68,0.03932,0
45,7,3,5,4,4,0.0,0.15152,86,0.03898,0
45,7,3,5,2,5,0.0,0.12121,68,0.03932,0
45,7,3,8,1,2,0.0,0.30303,172,0.03921,1
46,8,1,9,3,3,-0.02475,0.5,202,0.03038,0
46,8,1,6,0,3,-0.00336,0.5,298,0.03407,1
47,6,0,7,2,4,0.0,0.3,174,0.03837,0
47,6,0,5,2,4,-0.0068,0.3,147,0.03857,0
47,6,0,4,1,3,-0.01117,0.4,179,0.03857,1
48,4,1,5,3,6,-0.03371,0.25,89,0.02847,0
48,4,1,3,3,6,0.0,0.25,156,0.03564,0
48,4,1,2,0,3,-0.00784,0.5,255,0.03587,1
49,2,0,3,2,5,-0.01961,0.13793,51,0.03976,0
49,2,0,1,2,4,-0.02985,0.17241,67,0.0269,0
49,2,0,0,1,1,0.0,0.68965,382,0.0403,1
50,0,1,1,3,5,-0.002,1.0,500,0.04268,1
51,1,3,3,4,4,0.0,0.17241,88,0.04336,0
51,1,3,2,5,5,0.0,0.13793,70,0.04348,0
51,1,3,0,5,2,0.0,0.34483,175,0.04385,1
51,1,3,2,1,4,-0.0125,0.17241,80,0.03514,0
51,1,3,3,2,4,0.0,0.17241,87,0.04385,0
52,0,5,2,6,3,-0.00329,0.625,304,0.04258,1
52,0,5,2,4,5,0.0,0.375,196,0.04261,0
53,2,6,4,7,3,0.0,0.4,220,0.04051,1
53,2,6,3,4,3,-0.01176,0.4,170,0.04059,0
53,2,6,4,5,6,0.0,0.2,110,0.04033,0
54,4,7,6,8,3,0.0,0.36364,182,0.04448,1
54,4,7,2,8,3,0.0,0.36364,182,0.04448,0
54,4,7,3,5,4,0.0,0.27273,136,0.04456,0
55,6,8,4,9,3,0.0,0.36364,194,0.04174,1
55,6,8,5,6,4,-0.00826,0.27273,121,0.04177,0
55,6,8,7,6,3,-0.00541,0.36364,185,0.03835,0
56,4,9,2,8,2,0.0,0.52632,276,0.04253,1
56,4,9,3,7,5,-0.01163,0.21053,86,0.04254,0
56,4,9,5,7,4,0.0,0.26316,138,0.04238,0
57,2,8,1,6,4,0.0,0.42857,214,0.04462,0
57,2,8,3,6,3,0.0,0.57143,286,0.04457,1
58,3,6,5,7,3,-0.00478,0.44444,209,0.04259,1
58,3,6,2,4,4,0.0,0.33333,175,0.04239,0
58,3,6,4,4,6,0.0,0.22222,116,0.04251,0
59,5,7,4,5,5,-0.00735,0.21053,136,0.02704,0
59,5,7,6,5,4,-0.0297,0.26316,101,0.02804,0
59,5,7,7,6,2,-0.01521,0.52632,263,0.02941,1
60,7,6,6,4,5,-0.0339,0.28571,118,0.01984,0
60,7,6,8,4,2,-0.01571,0.71429,382,0.02604,1
61,8,4,6,5,3,-0.01709,0.5,234,0.03053,0
61,8,4,7,2,3,-0.01128,0.5,266,0.03064,1
62,7,2,9,3,2,-0.01887,0.52632,212,0.03644,1
62,7,2,6,4,4,0.0,0.26316,160,0.03659,0
62,7,2,5,3,5,0.0,0.21053,128,0.03653,0
63,9,3,8,5,1,-0.02632,0.5,228,0.02256,0
63,9,3,7,4,1,-0.01838,0.5,272,0.02261,1
64,7,4,5,3,4,-0.026,1.0,500,0.01868,1
65,5,3,6,5,2,-0.04902,0.31579,102,0.0196,0
65,5,3,4,5,4,-0.02817,0.1579,71,0.02092,0
65,5,3,3,4,2,-0.01485,0.31579,202,0.01997,1
65,5,3,3,2,3,-0.024,0.21053,125,0.0134,0
66,3,4,4,6,4,-0.06349,0.42857,126,0.01204,0
66,3,4,4,2,3,-0.02406,0.57143,374,0.01004,1
67,4,2,5,4,3,-0.02941,0.33333,170,0.01422,0
67,4,2,2,3,3,-0.02222,0.33333,225,0.01079,1
67,4,2,2,1,3,-0.05714,0.33333,105,0.01324,0
68,2,3,4,4,5,-0.07246,0.23077,69,0.00133,0
68,2,3,3,5,3,-0.04,0.38462,175,0.00891,0
68,2,3,0,4,3,-0.01953,0.38462,256,0.01397,1
69,0,4,2,5,4,-0.03371,0.27273,178,0.0004,0
69,0,4,1,6,3,-0.04396,0.36364,182,0.00052,1
69,0,4,1,2,3,-0.05714,0.36364,140,0.00058,0
70,1,6,3,7,4,-0.08257,0.23077,109,-0.03561,0
70,1,6,2,4,3,-0.07547,0.30769,212,-0.04314,1
70,1,6,3,5,2,-0.10056,0.46154,179,-0.04317,0
71,2,4,4,5,3,-0.10909,0.25,110,-0.05868,0
71,2,4,1,2,2,-0.1027,0.375,185,-0.05758,0
71,2,4,3,2,2,-0.09756,0.375,205,-0.05682,1
72,3,2,4,4,4,-0.13529,0.33333,170,-0.09166,0
72,3,2,4,0,2,-0.13333,0.66667,330,-0.08825,1
73,4,0,5,2,3,-0.15591,0.4,186,-0.10804,0
73,4,0,2,1,2,-0.14968,0.6,314,-0.10705,1
74,2,1,3,3,5,-0.15464,0.16667,194,-0.13551,0
74,2,1,0,0,1,-0.20261,0.83333,306,-0.14186,1
75,0,0,1,2,1,-0.256,1.0,500,-0.21132,1
76,1,2,3,3,4,-0.256,1.0,500,-0.21132,1
77,3,3,5,4,2,-0.26154,0.27273,130,-0.21494,1
77,3,3,4,5,2,-0.256,0.27273,125,-0.20755,0
77,3,3,2,5,3,-0.2459,0.18182,122,-0.21282,0
77,3,3,5,2,2,-0.26016,0.27273,123,-0.21093,0
78,5,4,4,6,3,-0.68478,0.25,184,-0.65454,0
78,5,4,3,5,1,-0.7057,0.75,316,-0.65274,1
79,3,5,5,6,3,-0.816,1.0,500,-0.77132,1
80,5,6,3,7,3,-0.81818,0.33333,165,-0.77324,0
80,5,6,4,4,3,-0.81818,0.33333,165,-0.77324,0
80,5,6,6,4,3,-0.81765,0.33333,170,-0.77402,1
81,6,4,8,5,0,-1.0,0.99998,213,-0.89541,1
81,6,4,4,5,1,-0.89583,1e-05,144,-0.89583,0
81,6,4,5,2,1,-0.8951,1e-05,143,-0.8951,0
1,5,5,7,6,7,0.0,0.125,63,0.04372,1
1,5,5,6,7,7,0.0,0.125,63,0.04372,0
1,5,5,4,7,7,0.0,0.125,63,0.04372,0
1,5,5,3,6,7,0.0,0.125,63,0.04372,0
1,5,5,3,4,7,0.0,0.125,62,0.04441,0
1,5,5,4,3,7,0.0,0.125,62,0.04441,0
